country;happiness;income;lifeexp;sanitation;water;urbanpopulation;unemployment;literacy;inequality;murder;energy;childmortality;fertility;hiv;foodsupply;population
Norway;7.603433609008789;0.5283848647561926;0.9358490566037734;0.9795523030563925;1.0;0.15418227215980024;0.07431331798011573;0.7559381383133935;0.2349137931034483;0.004056729721188513;0.3106535845474209;0.0037091988130563795;0.0991735537190083;0.0007411177484307054;0.8478260869565217;0.0034793915708702765
Pakistan;4.823194980621338;0.03415230739589703;0.37735849056603765;0.5512268618166164;0.811783960720131;0.17290886392009988;0.08816866071261399;0.3973154362416107;0.3642241379310345;0.060624138724247746;0.022832577281774395;0.5845697329376854;0.3818181818181817;0.02315323279133517;0.27717391304347827;0.13479605907106676
Palestine;4.695239067077637;0.016979820233378292;0.5471698113207548;0.9569522169608266;0.7970540098199673;0.21658951384515676;0.3025520043438372;0.9395973154362415;0.3836206896551724;0.060624138724247746;0.1280948947662362;0.1320474777448071;0.4694214876033058;0.04576739706208025;0.5265468227424748;0.003093586345352833
Panama;6.605550289154053;0.16818147549360432;0.807547169811321;0.7513990529487732;0.9181669394435353;0.3986683312526009;0.029096219738246356;0.923489932885906;0.7370689655172413;0.09603936769192073;0.054980500881910324;0.10905044510385753;0.21487603305785127;0.0031519827132052893;0.4347826086956521;0.0026006130016361
Paraguay;5.5597243309021;0.06715699003995745;0.645283018867925;0.9052948773138183;0.9819967266775779;0.4246774864752393;0.07805800520511524;0.9208053691275168;0.6681034482758621;0.060624138724247746;0.039284115365736574;0.13649851632047477;0.2099173553719008;0.0022590697632887766;0.35869565217391286;0.004508205505583459
Peru;5.577263355255127;0.09362775073925464;0.837735849056604;0.7503228583727938;0.8346972176759412;0.28526841448189766;0.0013200022468123354;0.8630872483221476;0.5797413793103449;0.060624138724247746;0.038151386514053934;0.10237388724035607;0.19669421487603309;0.01315260775227023;0.4184782608695652;0.02219808954967957
Philippines;5.547489166259766;0.05241378154920965;0.4830188679245282;0.7309513560051657;0.844517184942717;0.10736579275905117;0.0;0.9409395973154363;0.4520388615216202;0.060624138724247746;0.022401061528752438;0.19139465875370917;0.284297520661157;0.003330565303188592;0.34782608695652173;0.07263855051547864
Poland;6.007021903991699;0.20671486132169517;0.7698113207547173;0.9795523030563925;0.965630114566285;0.0072825634623387495;0.18272201314385217;0.9986577181208053;0.4520388615216202;0.0066236270646432465;0.13103515235203056;0.02002967359050445;0.011570247933884309;0.006187886742921432;0.826086956521739;0.027127822986846902
Portugal;5.08086633682251;0.2167670489290232;0.8867924528301887;0.9935428325441241;0.998363338788871;0.37994173949230126;0.4074032466438241;0.9409395973154363;0.4073275862068966;0.009848372470993415;0.11161694346604242;0.009643916913946584;0.0016528925619834767;0.008509460412704365;0.8423913043478259;0.007194553001778991
Qatar;6.3745293617248535;1.0;0.8754716981132078;0.9999999999999999;1.0;0.21658951384515676;0.004624688722874422;0.9530201342281878;0.4520388615216202;0.013098915840594387;1.0000000000000002;0.047477744807121657;0.11404958677685953;0.04576739706208025;0.5265468227424748;0.0015360763608564876
Romania;5.777491092681885;0.16650611089238299;0.671698113207547;0.8041325871717606;1.0;0.05669995838535165;0.18365818495010205;0.9718120805369127;0.41594827586206895;0.013872854738118426;0.0824896301370602;0.0519287833827893;0.04462809917355373;0.0027948175332386843;0.7771739130434783;0.01398186715440068
Russia;5.995538711547852;0.1966626737143671;0.509433962264151;0.8794662074903142;0.9410801963993455;0.1947565543071161;0.14059428186260745;0.9986577181208053;0.45474137931034486;0.272497436327402;0.26318685171500544;0.043026706231454;0.08264462809917358;0.04576739706208025;0.7771739130434783;0.1026456236112798
Rwanda;3.4831089973449707;0.009189374837699056;0.37735849056603765;0.5942746448557898;0.29132569558101473;0.04473574698293799;0.1795489468623322;0.5436241610738255;0.6142241379310345;0.060624138724247746;0.1280948947662362;0.28412462908011865;0.45123966942148763;0.03743983998999937;0.1630434782608694;0.008051897947373309
Saudi Arabia;6.345491886138916;0.41948616567680547;0.7358490566037736;0.9999999999999999;1.0;0.4350811485642947;0.09753037877511282;0.8308724832214766;0.4520388615216202;0.060624138724247746;0.3710657899704951;0.08234421364985162;0.22148760330578512;0.04576739706208025;0.7228260869565217;0.022340980373945288
Senegal;4.617000579833984;0.014047932181240945;0.3245283018867928;0.444683598794662;0.5941080196399345;0.15106117353308363;0.04276432810949466;0.3275167785234899;0.5107758620689654;0.060624138724247746;0.011397409826692486;0.3508902077151335;0.5950413223140496;0.009402373362620878;0.2880434782608694;0.010481041959890545
